label,seed,trigger_strategy,event_driven_freq,controller_freq,periodic_freq,threshold_confidence,TED_combined,TED_passenger,TED_freight,delay_ratio,n_delay_gt3min,n_delay_gt5min,max_end_delay,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,n_platform_switches,n_fcfs_fallback,deadlock
P_100000,0,periodic,100000.0,100000.0,100000.0,0.6,45351.299999999974,37154.49999999997,8196.8,1.2461050153065933,71,21,1574.0,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,1,periodic,100000.0,100000.0,100000.0,0.6,47273.89999999994,40960.09999999994,6313.800000000003,0.8706659074895498,78,22,489.49999999999955,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,2,periodic,100000.0,100000.0,100000.0,0.6,45657.69999999993,37113.69999999997,8543.999999999964,1.300315422162606,60,19,1442.699999999997,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,3,periodic,100000.0,100000.0,100000.0,0.6,42222.49999999992,35430.199999999946,6792.299999999976,1.0828417254517,71,14,461.0,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,4,periodic,100000.0,100000.0,100000.0,0.6,45189.699999999924,38812.79999999994,6376.8999999999905,0.9280179122962948,71,17,518.0999999999999,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,5,periodic,100000.0,100000.0,100000.0,0.6,45365.59999999995,36322.59999999998,9042.999999999967,1.4062331428929593,66,18,604.4999999999982,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,6,periodic,100000.0,100000.0,100000.0,0.6,38555.499999999935,30224.999999999956,8330.49999999998,1.3023268952640756,57,15,481.2999999999993,0,0,0,0,0.0,0.0,0.0,0,0,True
P_100000,7,periodic,100000.0,100000.0,100000.0,0.6,46379.7999999999,37559.69999999994,8820.099999999966,1.3263957479326582,64,22,1439.0999999999913,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,8,periodic,100000.0,100000.0,100000.0,0.6,41587.299999999974,32087.79999999998,9499.499999999995,1.672178101444053,55,15,1633.0,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,9,periodic,100000.0,100000.0,100000.0,0.6,49307.09999999989,39296.19999999991,10010.899999999981,1.4389453310112312,84,24,599.2999999999997,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,10,periodic,100000.0,100000.0,100000.0,0.6,42169.29999999992,35314.19999999994,6855.099999999982,1.096443226368298,65,17,537.9999999999995,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,11,periodic,100000.0,100000.0,100000.0,0.6,46003.399999999965,38830.899999999965,7172.500000000003,1.043313500274324,72,15,923.0,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,12,periodic,100000.0,100000.0,100000.0,0.6,46900.99999999998,36540.99999999998,10360.0,1.6014045340007967,60,19,1619.0,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,13,periodic,100000.0,100000.0,100000.0,0.6,48724.799999999916,39197.99999999992,9526.799999999996,1.372792399701938,74,16,1633.0,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,14,periodic,100000.0,100000.0,100000.0,0.6,55462.2999999999,38305.499999999956,17156.799999999945,2.5298622798407373,82,41,1442.699999999997,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,15,periodic,100000.0,100000.0,100000.0,0.6,46212.29999999999,37095.39999999998,9116.900000000005,1.3881898333178022,74,20,676.3000000000002,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,16,periodic,100000.0,100000.0,100000.0,0.6,49511.29999999997,38211.59999999996,11299.700000000006,1.670295908071874,82,23,1520.0,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,17,periodic,100000.0,100000.0,100000.0,0.6,49894.999999999956,40512.49999999997,9382.499999999989,1.3081310543822107,75,26,647.6999999999989,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,18,periodic,100000.0,100000.0,100000.0,0.6,53246.49999999979,39004.799999999836,14241.699999999953,2.0623648799719456,71,24,1433.5999999999913,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,19,periodic,100000.0,100000.0,100000.0,0.6,44947.699999999946,37243.29999999997,7704.399999999978,1.1684560830957609,67,18,560.6999999999998,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,20,periodic,100000.0,100000.0,100000.0,0.6,43807.799999999974,36181.89999999997,7625.9,1.1904782456190766,63,13,616.0,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,21,periodic,100000.0,100000.0,100000.0,0.6,43148.099999999875,36726.69999999989,6421.399999999989,0.9875737617244491,66,18,549.0,0,0,0,0,0.0,0.0,0.0,0,0,False
