seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock
0,RW1800_CW600,1800,600,39365.20000000001,36111.200000000004,3254.000000000008,0.5089760590547062,204,94,0,0,10883,1.696380376815796,0.01804659975335953,0.8637324267205734,9400.0,False
1,RW1800_CW600,1800,600,41904.69999999998,38387.79999999999,3516.8999999999955,0.5174739868418585,206,94,0,0,10913,1.4843215942382812,0.015790655257854055,0.8613580133785393,9400.0,False
2,RW1800_CW600,1800,600,41803.79999999998,37932.89999999999,3870.8999999999933,0.5763915860797452,178,93,0,0,10883,1.5001296997070312,0.016130426878570227,0.8545437838831206,9300.0,False
3,RW1800_CW600,1800,600,36212.69999999998,35331.39999999999,881.2999999999993,0.14089145371234385,173,93,0,0,10876,1.5040411949157715,0.016172485966836254,0.8550937844795881,9300.0,False
4,RW1800_CW600,1800,600,42306.800000000876,41248.600000000886,1058.1999999999912,0.1449039655718142,164,94,0,0,10917,1.5643606185913086,0.01664213424033307,0.8610424109187507,9400.0,False
5,RW1800_CW600,1800,600,38460.499999999985,36861.3,1599.1999999999853,0.24504952229150553,211,94,0,0,10888,1.4411165714263916,0.015331027355599911,0.8633357825128581,9400.0,False
6,RW1800_CW600,1800,600,41355.099999999984,37038.399999999994,4316.699999999991,0.6582962428301307,207,94,0,0,10881,1.5030527114868164,0.015989922462625705,0.8638911864718317,9400.0,False
7,RW1800_CW600,1800,600,34265.89999999999,33390.20000000001,875.6999999999762,0.1339531025892575,184,77,0,0,8528,241.798743724823,3.1402434249977014,0.9029080675422139,7700.0,True
8,RW1800_CW600,1800,600,39260.69999999998,37298.59999999999,1962.0999999999901,0.2971326207747936,165,93,0,0,10875,1.4746332168579102,0.015856271149009785,0.8551724137931035,9300.0,False
9,RW1800_CW600,1800,600,36277.69999999999,34720.0,1557.6999999999891,0.2534112143616734,204,94,0,0,10865,1.5613088607788086,0.016609668731689453,0.8651633686148182,9400.0,False
10,RW1800_CW600,1800,600,37068.899999999965,34489.89999999999,2578.999999999982,0.4223583977077,192,94,0,0,10873,1.445561170578003,0.015378310325297904,0.864526809528189,9400.0,False
11,RW1800_CW600,1800,600,41166.09999999999,39813.399999999994,1352.699999999999,0.19190838448173905,172,94,0,0,10912,1.6105945110321045,0.017133984159916005,0.8614369501466275,9400.0,False
12,RW1800_CW600,1800,600,43306.89999999999,39632.99999999999,3673.899999999995,0.5235909247566194,203,94,0,0,10899,1.49880051612854,0.01594468634179298,0.8624644462794752,9400.0,False
13,RW1800_CW600,1800,600,38447.39999999997,36663.499999999985,1783.8999999999846,0.2748263124222844,172,94,0,0,10901,1.5427086353302002,0.01641179399287447,0.8623062104394094,9400.0,False
14,RW1800_CW600,1800,600,38562.30000000001,35419.200000000004,3143.1000000000063,0.5012347558932472,173,94,0,0,10867,1.4742908477783203,0.015683945189131066,0.8650041409772706,9400.0,False
15,RW1800_CW600,1800,600,39699.29999999998,37919.29999999999,1779.999999999995,0.2651437641007589,205,94,0,0,10909,1.4706048965454102,0.01564473294197245,0.8616738472820606,9400.0,False
16,RW1800_CW600,1800,600,38310.499999999985,36284.2,2026.2999999999884,0.31543357563498386,208,94,0,0,10894,1.4773602485656738,0.01571659838899653,0.8628602900679273,9400.0,False
17,RW1800_CW600,1800,600,39209.799999999996,37855.5,1354.2999999999947,0.20207268791490293,165,94,0,0,10878,1.502793312072754,0.015987162894390998,0.8641294355580069,9400.0,False
18,RW1800_CW600,1800,600,36893.60000000001,35711.3,1182.3000000000131,0.18700092558507328,174,94,0,0,10879,1.4226629734039307,0.015134712483020538,0.8640500045960107,9400.0,False
19,RW1800_CW600,1800,600,39725.69999999997,38714.89999999998,1010.7999999999884,0.1474717446294265,177,94,0,0,10882,1.5206527709960938,0.016177157138256317,0.863811799301599,9400.0,False
20,RW1800_CW600,1800,600,13701.600000000002,12973.0,728.6000000000022,0.1356384595582411,77,39,0,0,2762,228.32789206504822,5.854561335001236,1.4120202751629254,3900.0,True
21,RW1800_CW600,1800,600,36482.89999999998,35933.2,549.6999999999857,0.0864075256614724,168,94,0,0,10865,1.7684729099273682,0.018813541594972002,0.8651633686148182,9400.0,False
22,RW1800_CW600,1800,600,36042.09999999999,35056.69999999999,985.4000000000024,0.1587681017975374,198,94,0,0,10864,1.539804458618164,0.016380898495937917,0.8652430044182622,9400.0,False
