seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock
0,RW1800_CW600,1800,600,41162.19999999999,38307.49999999999,2854.699999999998,0.4209188657717012,208,94,0,0,10888,1.430034875869751,0.015213136977337777,0.8633357825128581,9400.0,False
1,RW1800_CW600,1800,600,40676.5,36690.20000000001,3986.2999999999874,0.6136795159422433,212,94,0,0,10889,1.489948034286499,0.01585051100304786,0.8632564973826797,9400.0,False
2,RW1800_CW600,1800,600,42307.299999999945,38661.399999999965,3645.8999999999787,0.5326585502523233,206,94,0,0,10907,1.466242790222168,0.015598327555554979,0.861831851104795,9400.0,False
3,RW1800_CW600,1800,600,37147.599999999984,36167.59999999999,979.9999999999941,0.15304815955121664,189,94,0,0,10871,1.5435473918914795,0.01642071693501574,0.8646858614662865,9400.0,False
4,RW1800_CW600,1800,600,39708.79999999998,38400.099999999984,1308.699999999994,0.1924994414649381,168,94,0,0,10896,1.514343500137329,0.016110037235503503,0.8627019089574155,9400.0,False
5,RW1800_CW600,1800,600,41506.30000000003,38183.900000000016,3322.400000000018,0.4914658669356354,182,94,0,0,10911,1.4499101638793945,0.01542457621148292,0.8615159013839244,9400.0,False
6,RW1800_CW600,1800,600,40137.60000000002,36402.80000000001,3734.800000000011,0.5795011300302119,198,94,0,0,10848,1.474600076675415,0.015687234858249095,0.866519174041298,9400.0,False
7,RW1800_CW600,1800,600,38288.099999999984,36002.4,2285.6999999999853,0.35859935344969446,205,94,0,0,10889,1.4441933631896973,0.01536375918286912,0.8632564973826797,9400.0,False
8,RW1800_CW600,1800,600,37492.799999999996,35505.09999999999,1987.7000000000014,0.31621453175539804,182,93,0,0,10861,1.458357334136963,0.0156812616573867,0.8562747444986649,9300.0,False
9,RW1800_CW600,1800,600,36976.7,35928.40000000001,1048.2999999999893,0.164804640144481,192,94,0,0,10863,1.3477518558502197,0.014337785700534253,0.8653226548835496,9400.0,False
10,RW1800_CW600,1800,600,37515.000000000015,33572.40000000002,3942.599999999995,0.663318416580023,206,94,0,0,10873,1.3532376289367676,0.014396144988689017,0.864526809528189,9400.0,False
11,RW1800_CW600,1800,600,41991.29999999998,40263.69999999999,1727.599999999993,0.2423545850901003,165,94,0,0,10896,1.5013277530670166,0.015971571841138475,0.8627019089574155,9400.0,False
12,RW1800_CW600,1800,600,42755.0,39085.899999999994,3669.1000000000067,0.530226169359464,208,94,0,0,10898,1.398331642150879,0.014875868533519989,0.8625435859790788,9400.0,False
13,RW1800_CW600,1800,600,38954.79999999996,37471.29999999998,1483.499999999976,0.2236199349990403,193,94,0,0,10881,1.3898730278015137,0.014785883274484189,0.8638911864718317,9400.0,False
14,RW1800_CW600,1800,600,41079.999999999985,36425.399999999994,4654.599999999992,0.7217715545311113,177,94,0,0,10871,1.3689186573028564,0.01456296443939209,0.8646858614662865,9400.0,False
15,RW1800_CW600,1800,600,38280.29999999999,36976.19999999999,1304.0999999999963,0.19920963713457213,214,94,0,0,10897,1.3783586025238037,0.014663389388551103,0.8626227402037258,9400.0,False
16,RW1800_CW600,1800,600,37064.79999999999,34943.19999999998,2121.600000000002,0.3429434870630874,202,94,0,0,10872,1.404489278793335,0.014941375306312074,0.8646063281824872,9400.0,False
17,RW1800_CW600,1800,600,40301.20000000002,39302.00000000001,999.2000000000126,0.14360167337624136,181,93,0,0,10876,1.4151458740234375,0.015216622301327285,0.8550937844795881,9300.0,False
18,RW1800_CW600,1800,600,40151.70000000002,39315.30000000002,836.3999999999987,0.1201639391962241,186,94,0,0,10915,1.3993735313415527,0.014886952461080348,0.8612001832340815,9400.0,False
19,RW1800_CW600,1800,600,41342.69999999999,39324.299999999996,2018.3999999999937,0.2899131826131154,177,94,0,0,10886,1.442626714706421,0.015347092709642775,0.8634943964725336,9400.0,False
20,RW1800_CW600,1800,600,13222.900000000001,12985.0,237.90000000000146,0.0446686836459654,88,39,0,0,2753,226.17137122154236,5.799265928757497,1.4166363966581912,3900.0,True
21,RW1800_CW600,1800,600,41995.399999999965,39554.89999999997,2440.4999999999936,0.3484979660624138,187,94,0,0,10906,1.45906400680542,0.015521957519206596,0.8619108747478452,9400.0,False
22,RW1800_CW600,1800,600,35004.59999999999,33853.69999999999,1150.9000000000024,0.1920229668274938,206,94,0,0,10858,1.3840718269348145,0.014724168371646962,0.8657211272794254,9400.0,False
23,RW1800_CW600,1800,600,39182.10000000002,37736.00000000001,1446.100000000014,0.21645328913190048,179,94,0,0,10874,1.4420039653778076,0.015340467716785187,0.8644473054993563,9400.0,False
24,RW1800_CW600,1800,600,36784.01417626793,35852.11417626794,931.8999999999833,0.14681697361610757,193,95,0,0,10863,1.3966286182403564,0.014701353876214279,0.8745282150418853,9500.0,False
0,RW1800_CW1200,1800,1200,40622.8,38369.2,2253.600000000005,0.33175373150144655,237,94,0,0,10907,2.0800232887268066,0.02212790732688092,0.861831851104795,9400.0,False
1,RW1800_CW1200,1800,1200,40977.99999999996,37246.499999999985,3731.4999999999804,0.5658739526082739,240,94,0,0,10903,2.1376731395721436,0.02274120361246961,0.8621480326515638,9400.0,False
