seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock
0,RW1800_CW600,1800,600,37697.599999999984,36338.99999999999,1358.5999999999922,0.211173960468106,111,94,0,0,10885,1.1618471145629885,0.0123600756868403,0.8635737253100597,9400.0,False
1,RW1800_CW600,1800,600,40506.59999999998,37198.1,3308.49999999998,0.5023797298402691,106,94,0,0,10891,1.1979494094848633,0.0127441426540942,0.8630979708015792,9400.0,False
2,RW1800_CW600,1800,600,40602.39999999998,36983.09999999999,3619.299999999987,0.5527681324950872,97,94,0,0,10882,1.1525909900665283,0.0122616062773034,0.863811799301599,9400.0,False
3,RW1800_CW600,1800,600,35079.10000000001,34188.100000000006,891.0000000000041,0.1472056452005622,98,93,0,0,10873,1.119804859161377,0.0120409124641008,0.8553297158098041,9300.0,False
4,RW1800_CW600,1800,600,45847.10000000001,44673.400000000016,1173.699999999994,0.1483986069936537,101,94,0,0,10910,1.5945475101470947,0.0169632713845435,0.8615948670944088,9400.0,False
5,RW1800_CW600,1800,600,37779.3,35220.0,2559.2999999999965,0.4104436789786017,123,94,0,0,10878,1.0771949291229248,0.0114595205225843,0.8641294355580069,9400.0,False
6,RW1800_CW600,1800,600,38511.1,35654.899999999994,2856.2000000000016,0.4524713848032666,115,94,0,0,10887,1.122592210769653,0.0119424703273367,0.8634150822081382,9400.0,False
7,RW1800_CW600,1800,600,38188.59999999999,35663.50000000001,2525.099999999983,0.3999229673826924,108,94,0,0,10852,1.0942368507385254,0.0116408175610481,0.8661997788426097,9400.0,False
8,RW1800_CW600,1800,600,39411.90000000001,37469.90000000001,1942.0,0.2927442801048014,87,93,0,0,10880,1.136196851730347,0.0122171704487134,0.854779411764706,9300.0,False
9,RW1800_CW600,1800,600,34876.9,33421.99999999999,1454.900000000008,0.2458795647533618,101,94,0,0,10865,1.100982666015625,0.0117125815533577,0.8651633686148182,9400.0,False
10,RW1800_CW600,1800,600,37973.2,35679.70000000001,2293.499999999982,0.3630774503567686,97,94,0,0,10863,1.143075466156006,0.0121603772995319,0.8653226548835496,9400.0,False
11,RW1800_CW600,1800,600,39857.89999999999,38110.79999999999,1747.0999999999958,0.258935397966853,81,94,0,0,10892,1.247098684310913,0.0132670072799033,0.8630187293426368,9400.0,False
12,RW1800_CW600,1800,600,47489.0,43689.7,3799.300000000004,0.4911863074725265,98,94,0,0,10915,1.1163382530212402,0.011875938861928,0.8612001832340815,9400.0,False
13,RW1800_CW600,1800,600,43710.89999999998,38565.99999999999,5144.899999999986,0.7535187573407749,83,94,0,0,10898,1.1768858432769775,0.012520062162521,0.8625435859790788,9400.0,False
14,RW1800_CW600,1800,600,40695.89999995903,37244.399999959045,3451.499999999986,0.5234420668424534,108,94,0,0,10876,1.125410556793213,0.0119724527318426,0.8642883413019492,9400.0,False
15,RW1800_CW600,1800,600,40629.100000000006,38620.59999999999,2008.5000000000132,0.2937477482409482,95,93,0,0,10913,1.2216196060180664,0.0131356946883663,0.852194630257491,9300.0,False
16,RW1800_CW600,1800,600,37909.2,35954.5,1954.7000000000023,0.3070779170071335,101,94,0,0,10872,1.1322007179260254,0.0120446884885747,0.8646063281824872,9400.0,False
17,RW1800_CW600,1800,600,39860.50000000001,38516.5,1344.0000000000064,0.1970943521707489,95,93,0,0,10886,1.1503846645355225,0.0123697275756507,0.8543082858717619,9300.0,False
18,RW1800_CW600,1800,600,38682.5,37143.7,1538.8000000000031,0.234001553870065,83,94,0,0,10896,1.0758159160614014,0.0114448501708659,0.8627019089574155,9400.0,False
19,RW1800_CW600,1800,600,41628.50000000001,38822.2,2806.3000000000084,0.4082965218552601,98,94,0,0,10873,1.1073975563049316,0.0117808250670737,0.864526809528189,9400.0,False
20,RW1800_CW600,1800,600,39493.399999999994,37780.19999999999,1713.200000000003,0.2561330020475292,80,94,0,0,10881,1.1772730350494385,0.0125241812239301,0.8638911864718317,9400.0,False
21,RW1800_CW600,1800,600,39143.09999999998,38216.69999999998,926.399999999992,0.1369200628791319,91,94,0,0,10891,1.1645677089691162,0.0123890181805225,0.8630979708015792,9400.0,False
22,RW1800_CW600,1800,600,37201.69999999999,36027.999999999985,1173.7000000000037,0.1840088356186952,110,94,0,0,10870,1.1264724731445312,0.0119837497143035,0.8647654093836247,9400.0,False
23,RW1800_CW600,1800,600,37287.3,36313.600000000006,973.6999999999988,0.1514528991892842,98,94,0,0,10875,1.133098840713501,0.0120542429863138,0.864367816091954,9400.0,False
24,RW1800_CW600,1800,600,37462.11417626794,34834.11417626795,2627.9999999999936,0.4261302026156026,90,95,0,0,10874,1.080139398574829,0.0113698884060508,0.8736435534302004,9500.0,False
0,RW1800_CW1200,1800,1200,39400.8,36391.2,3009.600000000005,0.467126094244739,136,94,0,0,10895,1.7438366413116455,0.0185514536309749,0.8627810922441488,9400.0,False
1,RW1800_CW1200,1800,1200,41725.4,37834.8,3890.600000000004,0.5808270936565529,157,94,0,0,10907,1.7356352806091309,0.018464205112863,0.861831851104795,9400.0,False
2,RW1800_CW1200,1800,1200,43523.79999999998,39735.89999999999,3787.8999999999937,0.5384398291920198,130,94,0,0,10898,1.8557796478271484,0.0197423366790122,0.8625435859790788,9400.0,False
3,RW1800_CW1200,1800,1200,36450.499999999985,35434.59999999999,1015.8999999999965,0.1619366506059168,138,93,0,0,10876,1.6373987197875977,0.0176064378471784,0.8550937844795881,9300.0,False
4,RW1800_CW1200,1800,1200,46615.700000000026,42983.00000000004,3632.699999999988,0.4773693560935008,130,94,0,0,10932,2.0315868854522705,0.0216126264409816,0.8598609586534944,9400.0,False
5,RW1800_CW1200,1800,1200,36488.00000000001,35317.00000000001,1171.0000000000027,0.1872814729512641,134,94,0,0,10896,1.6448321342468262,0.0174982141941151,0.8627019089574155,9400.0,False
