seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,SWITCH_PENALTY,RETRACK_CONFLICT_WINDOW,min_objective_improvement,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock,retrack_conflict_window
0,RCW300,3600,1200,0.0,300,-10000.0,39187.7,36008.3,3179.399999999995,0.4987286050929703,300,94,0,0,10875,4.3896942138671875,0.0466988746156083,0.864367816091954,9400.0,False,300
1,RCW300,3600,1200,0.0,300,-10000.0,40151.899999999965,36489.39999999999,3662.499999999977,0.5669341757356325,317,94,0,0,10890,4.491652250289917,0.0477835345775523,0.8631772268135905,9400.0,False,300
2,RCW300,3600,1200,0.0,300,-10000.0,44792.2,40749.0,4043.199999999996,0.5604411245580349,294,92,0,0,10909,4.447325706481934,0.0483404968095862,0.8433403611696764,9200.0,False,300
3,RCW300,3600,1200,0.0,300,-10000.0,37211.500000000015,36287.000000000015,924.5000000000036,0.1439055611899886,290,93,0,0,10889,4.5645880699157715,0.0490815921496319,0.8540729176232895,9300.0,False,300
4,RCW300,3600,1200,0.0,300,-10000.0,40497.69999999999,39326.1,1171.599999999988,0.168275236832758,314,94,0,0,10891,4.733403921127319,0.0503553608630565,0.8630979708015792,9400.0,False,300
5,RCW300,3600,1200,0.0,300,-10000.0,41208.20000000004,37746.80000000002,3461.400000000021,0.5179566054766099,298,94,0,0,10876,4.254473924636841,0.0452603609003919,0.8642883413019492,9400.0,False,300
6,RCW300,3600,1200,0.0,300,-10000.0,39575.2,36561.7,3013.499999999999,0.4655502258458355,328,94,0,0,10872,4.197736740112305,0.0446567738309819,0.8646063281824872,9400.0,False,300
7,RCW300,3600,1200,0.0,300,-10000.0,40953.4,38034.100000000006,2919.2999999999947,0.4335381399068976,355,94,0,0,10886,4.449204444885254,0.0473319621796303,0.8634943964725336,9400.0,False,300
8,RCW300,3600,1200,0.0,300,-10000.0,38123.30000000001,36272.3,1851.0000000000052,0.2882392046023806,279,93,0,0,10862,4.241774320602417,0.0456104765656173,0.856195912354999,9300.0,False,300
9,RCW300,3600,1200,0.0,300,-10000.0,37168.7,35691.4,1477.3000000000022,0.2337904898689853,319,94,0,0,10866,4.243015766143799,0.0451384655972744,0.8650837474691699,9400.0,False,300
10,RCW300,3600,1200,0.0,300,-10000.0,34661.89999999998,32314.4,2347.4999999999773,0.4103280733823115,304,94,0,0,10865,4.224436283111572,0.0449408115224635,0.8651633686148182,9400.0,False,300
11,RCW300,3600,1200,0.0,300,-10000.0,39025.34453045202,37196.344530452014,1829.0000000000043,0.2777379147130308,291,94,0,0,10883,4.227123498916626,0.0449693989246449,0.8637324267205734,9400.0,False,300
12,RCW300,3600,1200,0.0,300,-10000.0,42398.09999999999,38855.1,3542.9999999999955,0.5150446116496898,324,94,0,0,10897,4.266648530960083,0.045389877988937,0.8626227402037258,9400.0,False,300
13,RCW300,3600,1200,0.0,300,-10000.0,50409.8,46352.2,4057.6000000000017,0.4944479797798519,341,94,0,0,10937,4.90006422996521,0.0521283428719703,0.8594678613879492,9400.0,False,300
14,RCW300,3600,1200,0.0,300,-10000.0,12073.8,10967.0,1106.8000000000015,0.2228254520537312,127,36,0,0,2417,128.70632362365723,3.575175656212701,1.4894497310715764,3600.0,True,300
15,RCW300,3600,1200,0.0,300,-10000.0,40113.5,38340.3,1773.1999999999994,0.2612305366117933,314,94,0,0,10884,4.352736949920654,0.0463057122331984,0.8636530687247336,9400.0,False,300
16,RCW300,3600,1200,0.0,300,-10000.0,39073.09999999722,37110.29999999721,1962.8000000000084,0.298746833504054,317,94,0,0,10885,4.29965877532959,0.0457410508013786,0.8635737253100597,9400.0,False,300
