seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,RETRACK_CONFLICT_WINDOW,SWITCH_PENALTY,min_objective_improvement,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock,switch_penalty,min_obj_improvement
0,SP0_MOI-10000,3600,1200,900,0.0,-10000.0,37175.3,35665.40000000001,1509.8999999999887,0.239123804971936,147,94,0,0,10872,4.389170169830322,0.0466932996790459,0.8646063281824872,9400.0,False,0,-10000
1,SP0_MOI-10000,3600,1200,900,0.0,-10000.0,41152.19999999996,37373.69999999998,3778.499999999978,0.5710512125718511,142,93,0,0,10899,4.5480055809021,0.0489032858161516,0.853289292595651,9300.0,False,0,-10000
2,SP0_MOI-10000,3600,1200,900,0.0,-10000.0,41733.40000000001,37851.2,3882.200000000003,0.5793219440659949,165,93,0,0,10876,4.403081893920898,0.0473449666012999,0.8550937844795881,9300.0,False,0,-10000
3,SP0_MOI-10000,3600,1200,900,0.0,-10000.0,37256.79999999999,35810.899999999994,1445.899999999991,0.2280577044517618,145,93,0,0,10879,4.38984751701355,0.0472026614732639,0.8548579832705213,9300.0,False,0,-10000
4,SP0_MOI-10000,3600,1200,900,0.0,-10000.0,47381.7,43731.50000000001,3650.199999999986,0.4714590898279982,145,94,0,0,10936,4.680686235427856,0.0497945344194452,0.8595464520848574,9400.0,False,0,-10000
5,SP0_MOI-10000,3600,1200,900,0.0,-10000.0,42532.10000000004,38855.80000000002,3676.300000000024,0.5344127560064467,139,94,0,0,10875,4.489184856414795,0.0477572857065403,0.864367816091954,9400.0,False,0,-10000
6,SP0_MOI-10000,3600,1200,900,0.0,-10000.0,37643.599999999984,34695.19999999999,2948.3999999999933,0.4799972330466452,151,94,0,0,10874,4.456623077392578,0.0474108838020487,0.8644473054993563,9400.0,False,0,-10000
7,SP0_MOI-10000,3600,1200,900,0.0,-10000.0,40217.3,37211.59999999999,3005.7000000000035,0.4562354359783124,163,94,0,0,10876,4.354776859283447,0.0463274133966324,0.8642883413019492,9400.0,False,0,-10000
8,SP0_MOI-10000,3600,1200,900,0.0,-10000.0,39254.30000000002,36066.70000000001,3187.6000000000076,0.4992052423505824,131,93,0,0,10871,4.509096384048462,0.0484849073553598,0.8554870757060068,9300.0,False,0,-10000
9,SP0_MOI-10000,3600,1200,900,0.0,-10000.0,36493.29999999998,35300.7,1192.5999999999833,0.1908240962877246,135,94,0,0,10862,4.581813812255859,0.0487427001303814,0.8654023200147302,9400.0,False,0,-10000
10,SP0_MOI-10000,3600,1200,900,0.0,-10000.0,38085.99999999999,33873.200000000004,4212.799999999988,0.7024838463497914,188,94,0,0,10866,4.397040605545044,0.0467770277185643,0.8650837474691699,9400.0,False,0,-10000
11,SP0_MOI-10000,3600,1200,900,0.0,-10000.0,39317.79999999999,37287.79999999998,2030.0000000000043,0.3075041661388947,163,94,0,0,10873,4.432604551315308,0.0471553675671841,0.864526809528189,9400.0,False,0,-10000
12,SP0_MOI-10000,3600,1200,900,0.0,-10000.0,45008.299999999974,39680.599999999984,5327.6999999999925,0.7583736908444693,168,94,0,0,10867,4.4222307205200195,0.0470450076651065,0.8650041409772706,9400.0,False,0,-10000
13,SP0_MOI-10000,3600,1200,900,0.0,-10000.0,41037.2,37083.19999999999,3954.000000000007,0.6022560733049591,145,94,0,0,10893,4.456923484802246,0.0474140796255558,0.862939502432755,9400.0,False,0,-10000
14,SP0_MOI-10000,3600,1200,900,0.0,-10000.0,11717.8,11160.0,557.8000000000015,0.1092745449434257,59,36,0,0,2413,130.6803755760193,3.6300104326672025,1.491918773311231,3600.0,True,0,-10000
15,SP0_MOI-10000,3600,1200,900,0.0,-10000.0,38806.5,37216.19999999999,1590.3000000000106,0.2413619237421791,135,94,0,0,10882,4.328121900558472,0.0460438500059411,0.863811799301599,9400.0,False,0,-10000
16,SP0_MOI-10000,3600,1200,900,0.0,-10000.0,38832.6,36817.899999999994,2014.7000000000023,0.3090815626620226,136,94,0,0,10884,4.233926773071289,0.0450417741816094,0.8636530687247336,9400.0,False,0,-10000
17,SP0_MOI-10000,3600,1200,900,0.0,-10000.0,39781.40000000005,39248.700000000026,532.7000000000235,0.0766618237821138,138,93,0,0,10897,4.506947040557861,0.0484617961350307,0.853445902541984,9300.0,False,0,-10000
18,SP0_MOI-10000,3600,1200,900,0.0,-10000.0,39490.9,36831.3,2659.5999999999976,0.4078692862851985,143,94,0,0,10868,4.4084038734436035,0.0468979135472723,0.8649245491350755,9400.0,False,0,-10000
19,SP0_MOI-10000,3600,1200,900,0.0,-10000.0,42004.299999999974,39436.39999999998,2567.8999999999924,0.3677922477153635,176,94,0,0,10881,4.397972583770752,0.0467869423805399,0.8638911864718317,9400.0,False,0,-10000
20,SP0_MOI-10000,3600,1200,900,0.0,-10000.0,40949.2,39599.09999999999,1350.1000000000022,0.192576082800861,151,94,0,0,10898,4.559181451797485,0.0485019303382711,0.8625435859790788,9400.0,False,0,-10000
21,SP0_MOI-10000,3600,1200,900,0.0,-10000.0,41153.999999999985,39973.49999999999,1180.499999999995,0.1668074879827659,175,94,0,0,10890,4.463592767715454,0.0474850294437814,0.8631772268135905,9400.0,False,0,-10000
22,SP0_MOI-10000,3600,1200,900,0.0,-10000.0,42431.99999999996,37910.39999999999,4521.599999999976,0.6736828630979014,175,94,0,0,10887,4.458974838256836,0.0474359025346471,0.8634150822081382,9400.0,False,0,-10000
23,SP0_MOI-10000,3600,1200,900,0.0,-10000.0,40328.50000000002,36322.8,4005.700000000019,0.6229035811612075,143,94,0,0,10844,4.449399471282959,0.0473340369285421,0.866838804869052,9400.0,False,0,-10000
24,SP0_MOI-10000,3600,1200,900,0.0,-10000.0,37435.9,34988.2,2447.7000000000035,0.3951466588641414,168,94,0,0,10871,4.444488525390625,0.0472817928233045,0.8646858614662865,9400.0,False,0,-10000
0,SP0_MOI60,3600,1200,900,0.0,60.0,38778.59999999998,37732.899999999994,1045.6999999999862,0.156533988076221,143,55,0,39,10884,3.3474481105804443,0.0608626929196444,0.5053289231900037,5500.0,False,0,60
1,SP0_MOI60,3600,1200,900,0.0,60.0,37659.7,36124.9,1534.8000000000038,0.2399754770225006,92,42,0,52,10881,2.6892735958099365,0.0640303237097603,0.3859939343810311,4200.0,False,0,60
2,SP0_MOI60,3600,1200,900,0.0,60.0,43434.79999999998,39182.19999999998,4252.599999999998,0.6130380688113536,117,44,0,49,10895,2.6429851055145264,0.0600678433071483,0.4038549793483249,4400.0,False,0,60
3,SP0_MOI60,3600,1200,900,0.0,60.0,38006.49999999996,36773.59999999998,1232.8999999999835,0.1893709820972833,119,43,0,51,10885,2.6344947814941406,0.0612673204998637,0.3950390445567294,4300.0,False,0,60
4,SP0_MOI60,3600,1200,900,0.0,60.0,38588.79999999997,37599.7,989.0999999999711,0.1485858827433318,109,46,0,48,10893,2.8724284172058105,0.0624440960262132,0.4222895437436886,4600.0,False,0,60
5,SP0_MOI60,3600,1200,900,0.0,60.0,38531.49999999997,37407.19999999999,1124.299999999983,0.1697652258988019,123,47,0,47,10897,2.7156426906585693,0.0577796317161397,0.4313113701018629,4700.0,False,0,60
6,SP0_MOI60,3600,1200,900,0.0,60.0,41616.399999999965,37003.59999999999,4612.799999999975,0.7041130182878516,131,51,0,43,10909,3.210932493209839,0.0629594606511733,0.4675038958657989,5100.0,False,0,60
7,SP0_MOI60,3600,1200,900,0.0,60.0,38710.89999999997,36201.59999999999,2509.29999999998,0.3915133251350405,124,48,0,46,10896,2.8960492610931396,0.060334359606107,0.4405286343612335,4800.0,False,0,60
8,SP0_MOI60,3600,1200,900,0.0,60.0,38010.30000000001,34742.100000000006,3268.200000000007,0.5313421715193639,96,48,0,45,10877,3.008432388305664,0.062675674756368,0.4412981520639882,4800.0,False,0,60
9,SP0_MOI60,3600,1200,900,0.0,60.0,37762.39999999999,35664.29999999999,2098.1000000000004,0.3322876544165061,120,51,0,43,10868,3.179941892623902,0.0623518018161549,0.4692675745307324,5100.0,False,0,60
10,SP0_MOI60,3600,1200,900,0.0,60.0,36150.79999999999,35006.700000000004,1144.0999999999804,0.1846012083652275,131,53,0,41,10875,3.3313674926757812,0.0628559904278449,0.4873563218390804,5300.0,False,0,60
11,SP0_MOI60,3600,1200,900,0.0,60.0,39348.39999999998,37322.6,2025.7999999999793,0.3065818235929611,110,49,0,45,10895,3.1947503089904785,0.0651989858977648,0.4497475906379073,4900.0,False,0,60
12,SP0_MOI60,3600,1200,900,0.0,60.0,46362.299999999974,40660.599999999984,5701.6999999999925,0.7920494678732376,101,43,0,51,10906,2.822004556655884,0.0656280129454856,0.3942783788740143,4300.0,False,0,60
13,SP0_MOI60,3600,1200,900,0.0,60.0,41898.19999999999,38211.8,3686.399999999997,0.5449123966021884,123,47,0,47,10894,3.0012941360473633,0.0638573220435609,0.4314301450339636,4700.0,False,0,60
14,SP0_MOI60,3600,1200,900,0.0,60.0,38347.49999999996,34760.899999999994,3586.5999999999717,0.5827921032533065,86,42,0,52,10865,2.5532240867614746,0.060791049684797,0.3865623561895996,4200.0,False,0,60
15,SP0_MOI60,3600,1200,900,0.0,60.0,36940.49999999998,35369.2,1571.2999999999806,0.2509317413188547,99,45,0,48,10872,2.663534641265869,0.059189658694797,0.4139072847682119,4500.0,False,0,60
16,SP0_MOI60,3600,1200,900,0.0,60.0,36920.3,35350.8,1569.4999999999918,0.2507747465994508,100,46,0,48,10877,2.859696865081787,0.0621673231539518,0.422910729061322,4600.0,False,0,60
17,SP0_MOI60,3600,1200,900,0.0,60.0,41064.30000000001,40064.40000000001,999.8999999999988,0.1409677123128464,102,45,0,48,10914,3.0281834602355957,0.0672929657830132,0.4123144584936778,4500.0,False,0,60
18,SP0_MOI60,3600,1200,900,0.0,60.0,39775.999999999985,38289.7,1486.2999999999822,0.2192533515526356,113,47,0,47,10886,3.120696544647217,0.0663977988222812,0.4317471982362668,4700.0,False,0,60
19,SP0_MOI60,3600,1200,900,0.0,60.0,41271.29999999999,40052.2,1219.0999999999858,0.1719232774855167,124,46,0,48,10883,3.0041043758392334,0.0653066168660703,0.4226775705228338,4600.0,False,0,60
20,SP0_MOI60,3600,1200,900,0.0,60.0,43894.20000000001,42350.6,1543.6000000000104,0.205871831907828,98,43,0,51,10915,2.888094663619995,0.0671649921772091,0.3939532753092075,4300.0,False,0,60
21,SP0_MOI60,3600,1200,900,0.0,60.0,39473.39999999994,38497.19999999998,976.199999999962,0.1432291407977896,134,43,0,51,10899,2.9223904609680176,0.0679625688597213,0.3945316084044408,4300.0,False,0,60
22,SP0_MOI60,3600,1200,900,0.0,60.0,38866.6,37442.7,1423.8999999999987,0.2147998918904861,120,47,0,47,10888,2.8711297512054443,0.0610878670469243,0.431667891256429,4700.0,False,0,60
23,SP0_MOI60,3600,1200,900,0.0,60.0,40330.89999999998,36618.40000000001,3712.499999999969,0.572649419267508,108,48,0,46,10857,3.0173540115356445,0.0628615419069926,0.4421110804089527,4800.0,False,0,60
24,SP0_MOI60,3600,1200,900,0.0,60.0,35992.09999999996,33518.59999999998,2473.4999999999845,0.4168192526596495,138,45,0,49,10875,2.798250436782837,0.0621833430396185,0.4137931034482758,4500.0,False,0,60
0,SP0_MOI120,3600,1200,900,0.0,120.0,38677.999999999985,37252.99999999999,1424.9999999999943,0.2160604810055853,120,38,0,56,10895,2.385155200958252,0.0627672421304803,0.348783845800826,3800.0,False,0,120
1,SP0_MOI120,3600,1200,900,0.0,120.0,37822.09999999997,36579.299999999974,1242.7999999999963,0.1919055703245118,84,33,0,61,10892,2.3408877849578857,0.0709359934835723,0.3029746603011384,3300.0,False,0,120
2,SP0_MOI120,3600,1200,900,0.0,120.0,42114.80000000001,37543.8,4571.000000000016,0.6876931846167804,85,31,0,62,10901,2.045485496520996,0.0659834031135805,0.2843775800385285,3100.0,False,0,120
3,SP0_MOI120,3600,1200,900,0.0,120.0,37560.100000000006,36118.90000000001,1441.1999999999937,0.2253779709682287,100,35,0,58,10879,2.1954092979431152,0.0627259799412318,0.3217207463921316,3500.0,False,0,120
4,SP0_MOI120,3600,1200,900,0.0,120.0,36587.90000000001,35062.4,1525.5000000000043,0.2457493052261244,84,30,0,64,10866,1.782067060470581,0.0594022353490193,0.2760905577029265,3000.0,False,0,120
5,SP0_MOI120,3600,1200,900,0.0,120.0,39866.09999999997,38728.49999999999,1137.5999999999783,0.1659130830051438,100,35,0,59,10898,2.215536832809448,0.0633010523659842,0.321159845843274,3500.0,False,0,120
6,SP0_MOI120,3600,1200,900,0.0,120.0,41603.59999999999,37162.3,4441.299999999989,0.6750396013116549,98,33,0,61,10895,2.2789340019226074,0.0690586061188669,0.3028912345112436,3300.0,False,0,120
7,SP0_MOI120,3600,1200,900,0.0,120.0,39475.99999999998,36549.3,2926.699999999978,0.4522940458293495,96,32,0,62,10875,2.085054874420166,0.0651579648256301,0.2942528735632184,3200.0,False,0,120
8,SP0_MOI120,3600,1200,900,0.0,120.0,37275.49999999996,34351.79999999998,2923.6999999999853,0.4807342181278897,87,34,0,59,10886,2.1209263801574707,0.0623801876516903,0.3123277604262355,3400.0,False,0,120
9,SP0_MOI120,3600,1200,900,0.0,120.0,38907.099999999984,36659.69999999999,2247.399999999995,0.3462686681698287,112,40,0,54,10894,2.5667290687561035,0.0641682267189025,0.3671745915182669,4000.0,False,0,120
10,SP0_MOI120,3600,1200,900,0.0,120.0,35767.09999999999,34224.8,1542.299999999992,0.2545362645582356,113,38,0,56,10874,2.7277209758758545,0.0717821309441014,0.3494574213720802,3800.0,False,0,120
11,SP0_MOI120,3600,1200,900,0.0,120.0,39569.79999999999,37319.19999999999,2250.599999999995,0.3406337815328355,77,30,0,64,10885,3.56286096572876,0.1187620321909586,0.2756086357372531,3000.0,False,0,120
12,SP0_MOI120,3600,1200,900,0.0,120.0,43422.69999999992,38600.599999999955,4822.09999999997,0.7056086300087653,90,31,0,63,10914,2.6414408683776855,0.0852077699476672,0.2840388491845336,3100.0,False,0,120
13,SP0_MOI120,3600,1200,900,0.0,120.0,39936.39999999997,37632.599999999984,2303.799999999986,0.345781915878054,83,31,0,63,10911,2.298468589782715,0.0741441480575069,0.2841169462010814,3100.0,False,0,120
14,SP0_MOI120,3600,1200,900,0.0,120.0,41185.89999999999,36742.79999999999,4443.1,0.683023373526003,99,35,0,59,10889,2.758636474609375,0.0788181849888392,0.3214252915786573,3500.0,False,0,120
15,SP0_MOI120,3600,1200,900,0.0,120.0,37603.6,36173.100000000006,1430.499999999995,0.2233694937112662,83,34,0,60,10893,2.425170421600342,0.0713285418117747,0.312127054071422,3400.0,False,0,120
16,SP0_MOI120,3600,1200,900,0.0,120.0,37494.000000000015,35448.20000000001,2045.800000000002,0.3259798185013008,103,33,0,61,10882,2.358698606491089,0.0714757153482148,0.3032530784782209,3300.0,False,0,120
17,SP0_MOI120,3600,1200,900,0.0,120.0,37258.3,35984.49999999999,1273.8000000000002,0.1999435959835577,83,33,0,61,10885,2.278492212295532,0.06904521855441,0.3031694993109784,3300.0,False,0,120
18,SP0_MOI120,3600,1200,900,0.0,120.0,39366.50000000001,37895.49999999999,1471.000000000012,0.2192536125588881,91,28,0,66,10915,2.020331621170044,0.072154700756073,0.2565277141548328,2800.0,False,0,120
19,SP0_MOI120,3600,1200,900,0.0,120.0,42492.40000000001,39184.80000000001,3307.6000000000017,0.4767789528615156,104,33,0,61,10897,2.517652988433838,0.0762925148010253,0.3028356428374782,3300.0,False,0,120
20,SP0_MOI120,3600,1200,900,0.0,120.0,39481.0,37873.099999999984,1607.900000000017,0.239800402274562,101,40,0,54,10894,2.9255759716033936,0.0731393992900848,0.3671745915182669,4000.0,False,0,120
21,SP0_MOI120,3600,1200,900,0.0,120.0,40929.399999999965,39514.29999999999,1415.099999999978,0.2022807545010868,97,30,0,64,10907,2.4182288646698,0.0806076288223266,0.2750527184377005,3000.0,False,0,120
22,SP0_MOI120,3600,1200,900,0.0,120.0,38900.79999999998,36862.69999999998,2038.0999999999976,0.3122914353670645,111,34,0,60,10892,3.574639081954956,0.1051364435869104,0.3121557106132941,3400.0,False,0,120
23,SP0_MOI120,3600,1200,900,0.0,120.0,37740.899999999965,34303.29999999999,3437.599999999973,0.5660322367344681,72,32,0,62,10855,2.734476327896118,0.0854523852467536,0.2947950253339474,3200.0,False,0,120
24,SP0_MOI120,3600,1200,900,0.0,120.0,39914.29999999997,34265.39999999999,5648.899999999978,0.931171783384216,111,36,0,58,10871,3.233795642852783,0.0898276567459106,0.3311562873700671,3600.0,False,0,120
0,SP0_MOI180,3600,1200,900,0.0,180.0,37910.59999999997,36576.79999999999,1333.799999999983,0.205971310463773,95,29,0,65,10898,2.06093168258667,0.0710666097443679,0.2661038722701413,2900.0,False,0,180
1,SP0_MOI180,3600,1200,900,0.0,180.0,36607.59999999998,35509.69999999999,1097.8999999999878,0.1746375011539159,72,24,0,71,10898,1.7395696640014648,0.0724820693333943,0.2202238942925307,2400.0,False,0,180
2,SP0_MOI180,3600,1200,900,0.0,180.0,49483.699999999975,48666.599999999984,817.0999999999931,0.0911137972678307,80,24,0,53,8928,126.01759958267212,5.250733315944672,0.2688172043010753,2400.0,True,0,180
3,SP0_MOI180,3600,1200,900,0.0,180.0,36802.39999993007,35444.69999993007,1357.7000000000007,0.2163586384701286,75,26,0,67,10887,1.7762792110443115,0.0683184311940119,0.2388169376320382,2600.0,False,0,180
4,SP0_MOI180,3600,1200,900,0.0,180.0,39528.89999999996,38595.89999999997,932.9999999999828,0.1365407229242483,79,25,0,69,10900,1.6600699424743652,0.0664027976989746,0.2293577981651376,2500.0,False,0,180
5,SP0_MOI180,3600,1200,900,0.0,180.0,36014.99999999997,34745.19999999999,1269.799999999983,0.2064249715954096,84,27,0,67,10884,1.7306878566741943,0.0640995502471923,0.2480705622932745,2700.0,False,0,180
6,SP0_MOI180,3600,1200,900,0.0,180.0,40545.79999999996,35801.79999999998,4743.999999999979,0.7484478495433223,91,27,0,67,10894,1.6560027599334717,0.0613334355530915,0.2478428492748302,2700.0,False,0,180
7,SP0_MOI180,3600,1200,900,0.0,180.0,39113.49999999999,36369.9,2743.599999999992,0.4260890896707865,102,27,0,67,10892,1.841686487197876,0.0682106106369583,0.2478883584282042,2700.0,False,0,180
8,SP0_MOI180,3600,1200,900,0.0,180.0,35979.2,32948.7,3030.5000000000027,0.5195145687183315,73,26,0,67,10866,1.5302391052246094,0.0588553502009465,0.2392784833425363,2600.0,False,0,180
9,SP0_MOI180,3600,1200,900,0.0,180.0,39953.1,37404.3,2548.7999999999984,0.3848894025905757,74,30,0,64,10889,1.8704774379730225,0.062349247932434,0.2755073927817063,3000.0,False,0,180
