seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,trigger_strategy,event_driven_freq,controller_freq,threshold_confidence,mc_delay_per_train,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock
0,MC20,3600,1200,event_driven,900,900,0.6,20,41870.99999999999,38506.90000000001,3364.099999999986,0.4934601274114431,131,84,94,0,10877,4.1816325187683105,0.0497813395091465,0.7722717661119793,89.36170212765957,False
1,MC20,3600,1200,event_driven,900,900,0.6,20,40920.8,39647.3,1273.500000000001,0.1814291471090296,126,86,95,0,10892,4.415405988693237,0.0513419301010841,0.7895703268453911,90.52631578947368,False
2,MC20,3600,1200,event_driven,900,900,0.6,20,42002.50000000001,37808.2,4194.300000000001,0.6266069614179285,164,83,94,0,10878,4.184434652328491,0.0504148753292589,0.7630079058650487,88.29787234042553,False
3,MC20,3600,1200,event_driven,900,900,0.6,20,37155.099999999984,35771.899999999994,1383.1999999999923,0.2184060673321785,104,80,94,0,10877,4.165361642837524,0.052067020535469,0.735496920106647,85.1063829787234,False
4,MC20,3600,1200,event_driven,900,900,0.6,20,47308.09999999999,43731.50000000001,3576.5999999999863,0.4619529287926191,171,90,95,0,10937,4.328411340713501,0.0480934593412611,0.8228947609033557,94.73684210526316,False
5,MC20,3600,1200,event_driven,900,900,0.6,20,41136.000000000015,38137.1,2998.9000000000133,0.4441565236539179,132,83,94,0,10893,4.306649446487427,0.0518873427287641,0.7619572202331772,88.29787234042553,False
6,MC20,3600,1200,event_driven,900,900,0.6,20,40801.8,37777.2,3024.6000000000085,0.4522305622334224,131,85,95,0,10874,4.235628128051758,0.04983091915355,0.7816810741217582,89.47368421052632,False
7,MC20,3600,1200,event_driven,900,900,0.6,20,36330.8,35190.0,1140.7999999999977,0.1831099619334909,146,85,95,0,10859,4.141246557235718,0.0487205477321849,0.7827608435399208,89.47368421052632,False
8,MC20,3600,1200,event_driven,900,900,0.6,20,39179.90000000002,36066.70000000001,3113.200000000009,0.4875535702364895,130,81,94,0,10870,4.180861234664917,0.0516155707983323,0.7451701931922723,86.17021276595744,False
9,MC20,3600,1200,event_driven,900,900,0.6,20,36592.599999999984,35300.7,1291.8999999999842,0.2067127704126378,120,85,95,0,10862,4.144303560256958,0.0487565124736112,0.7825446510771498,89.47368421052632,False
10,MC20,3600,1200,event_driven,900,900,0.6,20,38062.49999999999,33879.200000000004,4183.299999999988,0.6974411866439992,185,86,95,0,10870,4.184073209762573,0.0486520140670066,0.7911683532658694,90.52631578947368,False
11,MC20,3600,1200,event_driven,900,900,0.6,20,40698.79999999998,38742.099999999984,1956.6999999999944,0.2852744087266731,137,84,95,0,10911,4.217803001403809,0.0502119404929024,0.769865273577124,88.42105263157895,False
12,MC20,3600,1200,event_driven,900,900,0.6,20,44978.299999999974,39650.599999999984,5327.6999999999925,0.7589474831887297,160,86,95,0,10867,4.25044322013855,0.049423758373704,0.7913867672770775,90.52631578947368,False
13,MC20,3600,1200,event_driven,900,900,0.6,20,40524.899999999994,37082.19999999999,3442.7000000000075,0.524391223276404,113,85,95,0,10892,4.214158773422241,0.0495783385108499,0.7803892765332354,89.47368421052632,False
14,MC20,3600,1200,event_driven,900,900,0.6,20,11734.2,11160.0,574.2000000000016,0.1124873497786214,56,31,39,0,2412,130.36625742912292,4.205363142874933,1.285240464344942,79.48717948717949,True
15,MC20,3600,1200,event_driven,900,900,0.6,20,39037.3,37216.19999999999,1821.1000000000115,0.2763907434615371,135,88,94,0,10883,4.304012775421143,0.0489092360843311,0.8086005696958559,93.61702127659576,False
16,MC20,3600,1200,event_driven,900,900,0.6,20,38892.399999999994,36817.899999999994,2074.500000000002,0.3182556716843032,132,86,95,0,10885,4.183901309967041,0.0486500152321748,0.7900780891134589,90.52631578947368,False
17,MC20,3600,1200,event_driven,900,900,0.6,20,39839.20000000005,39236.700000000026,602.5000000000218,0.0867333865521817,128,84,94,0,10899,4.271536350250244,0.0508516232172648,0.7707129094412332,89.36170212765957,False
18,MC20,3600,1200,event_driven,900,900,0.6,20,37415.2,36411.3,1003.9000000000024,0.1557313312015839,140,82,95,0,10878,4.261185169219971,0.0519656727953654,0.7538150395293253,86.31578947368422,False
19,MC20,3600,1200,event_driven,900,900,0.6,20,41779.99999999997,39480.39999999998,2299.5999999999926,0.3289974126541123,145,82,94,0,10881,4.224990129470825,0.0515242698715954,0.7536072052201084,87.2340425531915,False
20,MC20,3600,1200,event_driven,900,900,0.6,20,12842.500000000004,12545.0,297.50000000000364,0.0577900142013032,70,29,40,0,2664,122.51830172538756,4.224769025013365,1.0885885885885884,72.5,True
21,MC20,3600,1200,event_driven,900,900,0.6,20,42436.59999999999,40889.99999999999,1546.599999999997,0.2136400259070835,179,86,95,0,10905,4.498724937438965,0.0523107550864995,0.7886290692342961,90.52631578947368,False
22,MC20,3600,1200,event_driven,900,900,0.6,20,37687.399999999994,36297.99999999999,1389.3999999999985,0.216205294512639,156,84,94,0,10885,4.438982009887695,0.0528450239272344,0.7717041800643086,89.36170212765957,False
23,MC20,3600,1200,event_driven,900,900,0.6,20,40404.90000000002,36260.8,4144.10000000002,0.6455272378418067,138,82,94,0,10847,4.221973896026611,0.0514874865369099,0.7559693924587443,87.2340425531915,False
24,MC20,3600,1200,event_driven,900,900,0.6,20,37997.4,35700.0,2297.4000000000033,0.3634880413703948,158,83,95,0,10874,4.303461074829102,0.0518489286123988,0.7632885782600698,87.36842105263159,False
0,MC60,3600,1200,event_driven,900,900,0.6,60,41485.299999999974,37752.399999999994,3732.8999999999833,0.5585004362141686,102,70,94,0,10872,3.92638897895813,0.0560912711279732,0.6438557763061075,74.46808510638297,False
1,MC60,3600,1200,event_driven,900,900,0.6,60,40383.3,39025.7,1357.6,0.1964910865865878,118,74,95,0,10904,4.340536594390869,0.0586558999242009,0.6786500366837858,77.89473684210526,False
2,MC60,3600,1200,event_driven,900,900,0.6,60,41687.100000000006,37808.2,3878.9000000000024,0.5794878150451812,142,74,94,0,10876,4.157105922698975,0.0561771070634996,0.680397204854726,78.72340425531915,False
3,MC60,3600,1200,event_driven,900,900,0.6,60,37137.099999999984,35753.899999999994,1383.1999999999923,0.2185160220283649,107,74,94,0,10881,4.146482229232788,0.0560335436382809,0.680084551052293,78.72340425531915,False
4,MC60,3600,1200,event_driven,900,900,0.6,60,41017.699999999975,40106.8,910.8999999999828,0.1282845681152178,150,73,95,0,10891,4.015731573104858,0.0550100215493816,0.6702782113671839,76.84210526315789,False
