seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,SWITCH_PENALTY,RETRACK_CONFLICT_WINDOW,DISPATCHER_PRIORITY_TTL,min_objective_improvement,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock,ttl
0,TTL450,3600,1200,120,900,450.0,60,43872.099999999984,39249.19999999999,4622.899999999993,0.6652814537663138,15,49,0,45,10905,2.800416946411133,0.05715136625328843,0.4493351673544246,4900.0,False,450
1,TTL450,3600,1200,120,900,450.0,60,40668.800000000105,38195.60000000011,2473.199999999997,0.3657359302302684,14,41,0,54,10900,2.791757822036743,0.06809165419601812,0.3761467889908257,4100.0,False,450
2,TTL450,3600,1200,120,900,450.0,60,42152.19999999998,38583.999999999985,3568.2000000000007,0.5223524868248072,13,44,0,50,10884,2.679081678390503,0.060888219963420524,0.40426313855200297,4400.0,False,450
3,TTL450,3600,1200,120,900,450.0,60,40605.89999999998,37802.19999999998,2803.7000000000007,0.4189249175043656,13,44,0,49,10896,2.607100248336792,0.059252278371290726,0.4038179148311307,4400.0,False,450
4,TTL450,3600,1200,120,900,450.0,60,39733.799999999974,37481.29999999999,2252.4999999999836,0.3394469265450238,13,40,0,54,10900,2.224604845046997,0.05561512112617493,0.3669724770642202,4000.0,False,450
5,TTL450,3600,1200,120,900,450.0,60,39037.3,37081.1,1956.2000000000007,0.29797674541762514,16,49,0,45,10882,2.7102904319763184,0.05531204963216976,0.450284874104025,4900.0,False,450
6,TTL450,3600,1200,120,900,450.0,60,38967.09999999998,35236.39999999999,3730.699999999988,0.5980266285575551,17,47,0,47,10875,2.7186830043792725,0.05784431924211218,0.432183908045977,4700.0,False,450
7,TTL450,3600,1200,120,900,450.0,60,40698.499999999985,37002.5,3695.9999999999836,0.5641864115210485,17,44,0,50,10888,2.5869343280792236,0.05879396200180054,0.4041146216017634,4400.0,False,450
8,TTL450,3600,1200,120,900,450.0,60,40934.599999999955,36833.29999999998,4101.2999999999765,0.628930468228057,15,43,0,50,10891,2.72869610786438,0.06345804902010185,0.39482141217519057,4300.0,False,450
9,TTL450,3600,1200,120,900,450.0,60,40190.29999999998,37007.09999999999,3183.1999999999916,0.4858482012109278,15,50,0,44,10887,2.8924968242645264,0.05784993648529053,0.45926334160007354,5000.0,False,450
10,TTL450,3600,1200,120,900,450.0,60,37713.99999999997,34519.899999999994,3194.099999999978,0.5226376669689042,14,45,0,49,10888,2.609267473220825,0.05798372162712945,0.41329904481998525,4500.0,False,450
11,TTL450,3600,1200,120,900,450.0,60,40752.899999999994,37571.600000000006,3181.2999999999847,0.47826286607174057,15,46,0,48,10898,2.6569886207580566,0.05776062219039253,0.42209579739401726,4600.0,False,450
12,TTL450,3600,1200,120,900,450.0,60,46385.39999999996,38881.89999999997,7503.499999999988,1.0900292062220867,18,50,0,44,10900,3.1672139167785645,0.06334427833557128,0.45871559633027525,5000.0,False,450
13,TTL450,3600,1200,120,900,450.0,60,40757.69999999998,37734.19999999999,3023.4999999999905,0.4525812448333649,13,47,0,47,10899,2.7003138065338135,0.05745348524540029,0.4312322231397376,4700.0,False,450
14,TTL450,3600,1200,120,900,450.0,60,42383.299999999974,38502.899999999994,3880.399999999979,0.5692522832374606,16,45,0,49,10891,2.6262712478637695,0.058361583285861544,0.4131851987879901,4500.0,False,450
15,TTL450,3600,1200,120,900,450.0,60,39510.99999999998,37283.09999999999,2227.8999999999837,0.33752457916220885,15,47,0,47,10887,2.6636908054351807,0.056674272456067674,0.4317075411040691,4700.0,False,450
16,TTL450,3600,1200,120,900,450.0,60,39725.09999999999,36527.899999999994,3197.1999999999944,0.49438675341615207,15,43,0,51,10883,2.62856125831604,0.06112933158874512,0.39511164201047505,4300.0,False,450
