seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,SWITCH_PENALTY,RETRACK_CONFLICT_WINDOW,DISPATCHER_PRIORITY_TTL,min_objective_improvement,trigger_strategy,periodic_freq,controller_freq,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock,ttl
0,TTL900,3600,1200,120,900,900.0,60,periodic,3600.0,3600.0,42234.599999999984,38146.49999999999,4088.0999999999935,0.6053249019864559,8,20,0,4,10903,1.1110804080963135,0.05555402040481568,0.18343575162799228,2000.0,False,900
1,TTL900,3600,1200,120,900,900.0,60,periodic,3600.0,3600.0,43385.19999999998,37257.69999999998,6127.5,0.9289428688640131,10,19,0,4,10893,1.1164946556091309,0.05876287661100689,0.17442394198108876,1900.0,False,900
2,TTL900,3600,1200,120,900,900.0,60,periodic,3600.0,3600.0,43913.89999999997,36302.39999999999,7611.499999999987,1.0457581554992916,11,18,0,1,8433,61.02045488357544,3.3900252713097467,0.21344717182497333,1800.0,True,900
3,TTL900,3600,1200,120,900,900.0,60,periodic,3600.0,3600.0,40227.50000000001,36955.20000000001,3272.299999999998,0.5001488585882657,9,20,0,4,10908,1.0784149169921875,0.053920745849609375,0.18335166850018336,2000.0,False,900
4,TTL900,3600,1200,120,900,900.0,60,periodic,3600.0,3600.0,46331.399999999965,37873.49999999998,8457.899999999987,1.2613883957541119,10,20,0,3,10895,1.1930928230285645,0.059654641151428225,0.18357044515832951,2000.0,False,900
5,TTL900,3600,1200,120,900,900.0,60,periodic,3600.0,3600.0,43151.89999999992,37971.09999999995,5180.799999999973,0.7706645374977314,10,19,0,5,10907,1.0623297691345215,0.055912093112343235,0.1742000550105437,1900.0,False,900
6,TTL900,3600,1200,120,900,900.0,60,periodic,3600.0,3600.0,43972.999999999985,37676.9,6296.099999999986,0.9438830374363795,9,20,0,4,10894,1.0985734462738037,0.05492867231369018,0.18358729575913346,2000.0,False,900
7,TTL900,3600,1200,120,900,900.0,60,periodic,3600.0,3600.0,43427.09999999997,39108.299999999974,4318.799999999994,0.6237576447685295,10,19,0,4,10898,1.0658786296844482,0.056098875246549905,0.17434391631492016,1900.0,False,900
8,TTL900,3600,1200,120,900,900.0,60,periodic,3600.0,3600.0,41440.79999999996,35685.599999999984,5755.199999999977,0.9109386813334591,11,20,0,4,10897,1.0827529430389404,0.05413764715194702,0.1835367532348353,2000.0,False,900
9,TTL900,3600,1200,120,900,900.0,60,periodic,3600.0,3600.0,42673.19999999996,37119.699999999975,5553.499999999986,0.8450531895225668,11,19,0,5,10905,1.0822679996490479,0.05696147366573936,0.17423200366804217,1900.0,False,900
10,TTL900,3600,1200,120,900,900.0,60,periodic,3600.0,3600.0,40054.199999999924,34482.09999999995,5572.09999999998,0.9127396597011247,9,19,0,5,10870,1.0953044891357422,0.05764760469135485,0.17479300827966882,1900.0,False,900
11,TTL900,3600,1200,120,900,900.0,60,periodic,3600.0,3600.0,41708.79999999997,37092.19999999998,4616.599999999985,0.7030098031332772,11,19,0,4,10889,1.0873494148254395,0.05722891656975997,0.174488015428414,1900.0,False,900
12,TTL900,3600,1200,120,900,900.0,60,periodic,3600.0,3600.0,47753.79999999999,38881.69999999999,8872.099999999999,1.288851584661696,11,20,0,3,10914,1.1912634372711182,0.059563171863555905,0.1832508704416346,2000.0,False,900
13,TTL900,3600,1200,120,900,900.0,60,periodic,3600.0,3600.0,43356.59999999997,36060.499999999985,7296.099999999987,1.1428277051493574,10,20,0,4,10902,1.1352887153625488,0.05676443576812744,0.183452577508714,2000.0,False,900
14,TTL900,3600,1200,120,900,900.0,60,periodic,3600.0,3600.0,44348.59999999996,37072.79999999999,7275.799999999972,1.1085290812422255,12,21,0,2,10895,1.1859245300292969,0.05647259666806176,0.192748967416246,2100.0,False,900
0,TTL1800,3600,1200,120,900,1800.0,60,periodic,3600.0,3600.0,42234.599999999984,38146.49999999999,4088.0999999999935,0.6053249019864559,8,20,0,4,10903,1.120326280593872,0.056016314029693606,0.18343575162799228,2000.0,False,1800
1,TTL1800,3600,1200,120,900,1800.0,60,periodic,3600.0,3600.0,43385.19999999998,37257.69999999998,6127.5,0.9289428688640131,10,19,0,4,10893,1.1223175525665283,0.059069344871922544,0.17442394198108876,1900.0,False,1800
2,TTL1800,3600,1200,120,900,1800.0,60,periodic,3600.0,3600.0,43913.89999999997,36302.39999999999,7611.499999999987,1.0457581554992916,11,18,0,1,8433,61.04997801780701,3.3916654454337225,0.21344717182497333,1800.0,True,1800
3,TTL1800,3600,1200,120,900,1800.0,60,periodic,3600.0,3600.0,40227.50000000001,36955.20000000001,3272.299999999998,0.5001488585882657,9,20,0,4,10908,1.174623727798462,0.0587311863899231,0.18335166850018336,2000.0,False,1800
4,TTL1800,3600,1200,120,900,1800.0,60,periodic,3600.0,3600.0,46331.399999999965,37873.49999999998,8457.899999999987,1.2613883957541119,10,20,0,3,10895,1.2139339447021484,0.06069669723510742,0.18357044515832951,2000.0,False,1800
5,TTL1800,3600,1200,120,900,1800.0,60,periodic,3600.0,3600.0,43151.89999999992,37971.09999999995,5180.799999999973,0.7706645374977314,10,19,0,5,10907,1.0677103996276855,0.05619528419093082,0.1742000550105437,1900.0,False,1800
6,TTL1800,3600,1200,120,900,1800.0,60,periodic,3600.0,3600.0,43972.999999999985,37676.9,6296.099999999986,0.9438830374363795,9,20,0,4,10894,1.0885539054870605,0.054427695274353025,0.18358729575913346,2000.0,False,1800
7,TTL1800,3600,1200,120,900,1800.0,60,periodic,3600.0,3600.0,43427.09999999997,39108.299999999974,4318.799999999994,0.6237576447685295,10,19,0,4,10898,1.0504636764526367,0.055287561918559824,0.17434391631492016,1900.0,False,1800
8,TTL1800,3600,1200,120,900,1800.0,60,periodic,3600.0,3600.0,41440.79999999996,35685.599999999984,5755.199999999977,0.9109386813334591,11,20,0,4,10897,1.0695831775665283,0.05347915887832642,0.1835367532348353,2000.0,False,1800
9,TTL1800,3600,1200,120,900,1800.0,60,periodic,3600.0,3600.0,42673.19999999996,37119.699999999975,5553.499999999986,0.8450531895225668,11,19,0,5,10905,1.0554587841033936,0.05555046232123124,0.17423200366804217,1900.0,False,1800
10,TTL1800,3600,1200,120,900,1800.0,60,periodic,3600.0,3600.0,40054.199999999924,34482.09999999995,5572.09999999998,0.9127396597011247,9,19,0,5,10870,1.0752859115600586,0.05659399534526624,0.17479300827966882,1900.0,False,1800
11,TTL1800,3600,1200,120,900,1800.0,60,periodic,3600.0,3600.0,41708.79999999997,37092.19999999998,4616.599999999985,0.7030098031332772,11,19,0,4,10889,1.0724146366119385,0.05644287561115466,0.174488015428414,1900.0,False,1800
12,TTL1800,3600,1200,120,900,1800.0,60,periodic,3600.0,3600.0,47753.79999999999,38881.69999999999,8872.099999999999,1.288851584661696,11,20,0,3,10914,1.1419565677642822,0.05709782838821411,0.1832508704416346,2000.0,False,1800
13,TTL1800,3600,1200,120,900,1800.0,60,periodic,3600.0,3600.0,43356.59999999997,36060.499999999985,7296.099999999987,1.1428277051493574,10,20,0,4,10902,1.0935068130493164,0.05467534065246582,0.183452577508714,2000.0,False,1800
14,TTL1800,3600,1200,120,900,1800.0,60,periodic,3600.0,3600.0,44348.59999999996,37072.79999999999,7275.799999999972,1.1085290812422255,12,21,0,2,10895,1.13932204246521,0.054253430593581425,0.192748967416246,2100.0,False,1800
0,TTL3600,3600,1200,120,900,3600.0,60,periodic,3600.0,3600.0,42234.599999999984,38146.49999999999,4088.0999999999935,0.6053249019864559,8,20,0,4,10903,1.0944280624389648,0.054721403121948245,0.18343575162799228,2000.0,False,3600
1,TTL3600,3600,1200,120,900,3600.0,60,periodic,3600.0,3600.0,43385.19999999998,37257.69999999998,6127.5,0.9289428688640131,10,19,0,4,10893,1.1009609699249268,0.057945314206575095,0.17442394198108876,1900.0,False,3600
2,TTL3600,3600,1200,120,900,3600.0,60,periodic,3600.0,3600.0,43913.89999999997,36302.39999999999,7611.499999999987,1.0457581554992916,11,18,0,1,8433,61.00763964653015,3.3893133136961193,0.21344717182497333,1800.0,True,3600
3,TTL3600,3600,1200,120,900,3600.0,60,periodic,3600.0,3600.0,40227.50000000001,36955.20000000001,3272.299999999998,0.5001488585882657,9,20,0,4,10908,1.0985090732574463,0.05492545366287231,0.18335166850018336,2000.0,False,3600
4,TTL3600,3600,1200,120,900,3600.0,60,periodic,3600.0,3600.0,46331.399999999965,37873.49999999998,8457.899999999987,1.2613883957541119,10,20,0,3,10895,1.1658716201782227,0.05829358100891113,0.18357044515832951,2000.0,False,3600
5,TTL3600,3600,1200,120,900,3600.0,60,periodic,3600.0,3600.0,43151.89999999992,37971.09999999995,5180.799999999973,0.7706645374977314,10,19,0,5,10907,1.0643110275268555,0.0560163698698345,0.1742000550105437,1900.0,False,3600
6,TTL3600,3600,1200,120,900,3600.0,60,periodic,3600.0,3600.0,43972.999999999985,37676.9,6296.099999999986,0.9438830374363795,9,20,0,4,10894,1.0818278789520264,0.05409139394760132,0.18358729575913346,2000.0,False,3600
7,TTL3600,3600,1200,120,900,3600.0,60,periodic,3600.0,3600.0,43427.09999999997,39108.299999999974,4318.799999999994,0.6237576447685295,10,19,0,4,10898,1.0436367988586426,0.054928252571507505,0.17434391631492016,1900.0,False,3600
8,TTL3600,3600,1200,120,900,3600.0,60,periodic,3600.0,3600.0,41440.79999999996,35685.599999999984,5755.199999999977,0.9109386813334591,11,20,0,4,10897,1.073040246963501,0.05365201234817505,0.1835367532348353,2000.0,False,3600
9,TTL3600,3600,1200,120,900,3600.0,60,periodic,3600.0,3600.0,42673.19999999996,37119.699999999975,5553.499999999986,0.8450531895225668,11,19,0,5,10905,1.0609986782073975,0.055842035695126184,0.17423200366804217,1900.0,False,3600
10,TTL3600,3600,1200,120,900,3600.0,60,periodic,3600.0,3600.0,40054.199999999924,34482.09999999995,5572.09999999998,0.9127396597011247,9,19,0,5,10870,1.0426952838897705,0.05487869915209318,0.17479300827966882,1900.0,False,3600
11,TTL3600,3600,1200,120,900,3600.0,60,periodic,3600.0,3600.0,41708.79999999997,37092.19999999998,4616.599999999985,0.7030098031332772,11,19,0,4,10889,1.0985894203186035,0.05782049580624229,0.174488015428414,1900.0,False,3600
12,TTL3600,3600,1200,120,900,3600.0,60,periodic,3600.0,3600.0,47753.79999999999,38881.69999999999,8872.099999999999,1.288851584661696,11,20,0,3,10914,1.1406257152557373,0.05703128576278686,0.1832508704416346,2000.0,False,3600
13,TTL3600,3600,1200,120,900,3600.0,60,periodic,3600.0,3600.0,43356.59999999997,36060.499999999985,7296.099999999987,1.1428277051493574,10,20,0,4,10902,1.1028594970703125,0.055142974853515624,0.183452577508714,2000.0,False,3600
14,TTL3600,3600,1200,120,900,3600.0,60,periodic,3600.0,3600.0,44348.59999999996,37072.79999999999,7275.799999999972,1.1085290812422255,12,21,0,2,10895,1.1432945728302002,0.05444259870620001,0.192748967416246,2100.0,False,3600
0,TTL100000,3600,1200,120,900,100000.0,60,periodic,3600.0,3600.0,42234.599999999984,38146.49999999999,4088.0999999999935,0.6053249019864559,8,20,0,4,10903,1.0907182693481445,0.05453591346740723,0.18343575162799228,2000.0,False,100000
1,TTL100000,3600,1200,120,900,100000.0,60,periodic,3600.0,3600.0,43385.19999999998,37257.69999999998,6127.5,0.9289428688640131,10,19,0,4,10893,1.1053292751312256,0.05817522500690661,0.17442394198108876,1900.0,False,100000
2,TTL100000,3600,1200,120,900,100000.0,60,periodic,3600.0,3600.0,43913.89999999997,36302.39999999999,7611.499999999987,1.0457581554992916,11,18,0,1,8433,61.011120319366455,3.3895066844092474,0.21344717182497333,1800.0,True,100000
3,TTL100000,3600,1200,120,900,100000.0,60,periodic,3600.0,3600.0,40227.50000000001,36955.20000000001,3272.299999999998,0.5001488585882657,9,20,0,4,10908,1.1157619953155518,0.05578809976577759,0.18335166850018336,2000.0,False,100000
4,TTL100000,3600,1200,120,900,100000.0,60,periodic,3600.0,3600.0,46331.399999999965,37873.49999999998,8457.899999999987,1.2613883957541119,10,20,0,3,10895,1.2036633491516113,0.060183167457580566,0.18357044515832951,2000.0,False,100000
5,TTL100000,3600,1200,120,900,100000.0,60,periodic,3600.0,3600.0,43151.89999999992,37971.09999999995,5180.799999999973,0.7706645374977314,10,19,0,5,10907,1.098762035369873,0.057829580808940684,0.1742000550105437,1900.0,False,100000
6,TTL100000,3600,1200,120,900,100000.0,60,periodic,3600.0,3600.0,43972.999999999985,37676.9,6296.099999999986,0.9438830374363795,9,20,0,4,10894,1.0855295658111572,0.05427647829055786,0.18358729575913346,2000.0,False,100000
7,TTL100000,3600,1200,120,900,100000.0,60,periodic,3600.0,3600.0,43427.09999999997,39108.299999999974,4318.799999999994,0.6237576447685295,10,19,0,4,10898,1.0510425567626953,0.05531802930329975,0.17434391631492016,1900.0,False,100000
8,TTL100000,3600,1200,120,900,100000.0,60,periodic,3600.0,3600.0,41440.79999999996,35685.599999999984,5755.199999999977,0.9109386813334591,11,20,0,4,10897,1.0841622352600098,0.054208111763000486,0.1835367532348353,2000.0,False,100000
9,TTL100000,3600,1200,120,900,100000.0,60,periodic,3600.0,3600.0,42673.19999999996,37119.699999999975,5553.499999999986,0.8450531895225668,11,19,0,5,10905,1.078171968460083,0.05674589307684647,0.17423200366804217,1900.0,False,100000
10,TTL100000,3600,1200,120,900,100000.0,60,periodic,3600.0,3600.0,40054.199999999924,34482.09999999995,5572.09999999998,0.9127396597011247,9,19,0,5,10870,1.0555922985076904,0.0555574893951416,0.17479300827966882,1900.0,False,100000
11,TTL100000,3600,1200,120,900,100000.0,60,periodic,3600.0,3600.0,41708.79999999997,37092.19999999998,4616.599999999985,0.7030098031332772,11,19,0,4,10889,1.0795180797576904,0.056816741039878445,0.174488015428414,1900.0,False,100000
12,TTL100000,3600,1200,120,900,100000.0,60,periodic,3600.0,3600.0,47753.79999999999,38881.69999999999,8872.099999999999,1.288851584661696,11,20,0,3,10914,1.1371681690216064,0.056858408451080325,0.1832508704416346,2000.0,False,100000
13,TTL100000,3600,1200,120,900,100000.0,60,periodic,3600.0,3600.0,43356.59999999997,36060.499999999985,7296.099999999987,1.1428277051493574,10,20,0,4,10902,1.0962421894073486,0.05481210947036743,0.183452577508714,2000.0,False,100000
14,TTL100000,3600,1200,120,900,100000.0,60,periodic,3600.0,3600.0,44348.59999999996,37072.79999999999,7275.799999999972,1.1085290812422255,12,21,0,2,10895,1.1436371803283691,0.05445891334896996,0.192748967416246,2100.0,False,100000
