mc_delay_per_train,threshold_confidence,seed,n_rescheduled,n_evaluated,n_skipped,n_fcfs_fallback,triggered_%,TED_combined,total_solver_time
90,0.4,1,75,112,10731,0,66.96,78011.80000000002,0.6411328315734863
90,0.4,2,75,112,10731,0,66.96,75308.50000000004,0.7065668106079102
90,0.4,3,80,107,10726,0,74.77,77154.7999999999,0.6564640998840332
90,0.4,4,75,112,10731,0,66.96,74246.19999999998,0.6213831901550293
90,0.4,5,76,110,10730,0,69.09,72031.2,0.6188549995422363
90,0.4,6,78,109,10728,0,71.56,73762.19999999991,0.6366081237792969
90,0.4,7,78,109,10728,0,71.56,78726.09988056801,0.6025028228759766
90,0.4,8,77,109,10729,0,70.64,70309.49999987241,0.6825881004333496
90,0.4,9,79,108,10727,0,73.15,69680.50000000004,0.6267247200012207
90,0.4,10,78,108,10728,0,72.22,69156.0,0.660614013671875
90,0.4,11,75,111,10731,0,67.57,76400.89999999982,0.6703314781188965
90,0.4,12,78,109,10728,0,71.56,82395.89999999997,0.6718339920043945
90,0.4,13,77,111,10729,0,69.37,79235.29999999996,0.781923770904541
90,0.4,14,78,109,10728,0,71.56,78222.09999999999,0.657050609588623
90,0.4,15,81,106,10725,0,76.42,73746.49999999999,0.6726272106170654
90,0.4,16,75,114,10731,0,65.79,75020.10000000005,0.6314380168914795
90,0.4,17,78,109,10728,0,71.56,74154.20000000004,0.6667206287384033
90,0.4,18,77,110,10729,0,70.0,76230.99999999997,0.6382355690002441
90,0.4,19,77,110,10729,0,70.0,75538.40000000001,0.6530463695526123
90,0.4,20,76,109,10730,0,69.72,78545.79999999994,0.711047887802124
90,0.6,1,72,115,10734,0,62.61,76020.59999999998,0.6688809394836426
90,0.6,2,72,115,10734,0,62.61,73900.69999999997,0.65244460105896
90,0.6,3,75,112,10731,0,66.96,71821.99999999996,0.6498391628265381
90,0.6,4,71,116,10735,0,61.21,71595.30000000002,0.5948879718780518
90,0.6,5,75,111,10731,0,67.57,74488.89999999998,0.6293246746063232
90,0.6,6,76,113,10730,0,67.26,71597.4,0.5996856689453125
90,0.6,7,76,112,10730,0,67.86,76279.5,0.6110692024230957
90,0.6,8,75,111,10731,0,67.57,71174.79999999992,0.6044671535491943
90,0.6,9,78,109,10728,0,71.56,71588.09999985519,0.6256330013275146
90,0.6,10,79,107,10727,0,73.83,70294.4,0.6552102565765381
90,0.6,11,73,113,10733,0,64.6,74585.70000000001,0.5922939777374268
90,0.6,12,76,111,10730,0,68.47,76943.20000000001,0.6699745655059814
90,0.6,13,74,113,10732,0,65.49,79578.09999999999,0.6528160572052002
90,0.6,14,71,116,10735,0,61.21,71519.29999999999,0.6174187660217285
90,0.6,15,75,112,10731,0,66.96,72966.6999999998,0.6475462913513184
90,0.6,16,77,111,10729,0,69.37,77352.1,0.6556220054626465
90,0.6,17,76,111,10730,0,68.47,74539.19999999995,0.6504390239715576
90,0.6,18,74,112,10732,0,66.07,75242.80000000002,0.6744778156280518
90,0.6,19,71,116,10735,0,61.21,75779.60000000002,0.6022374629974365
90,0.6,20,72,113,10734,0,63.72,80071.80000000002,0.6503100395202637
90,0.8,1,68,118,10738,0,57.63,74699.09999999996,0.6151294708251953
90,0.8,2,71,116,10735,0,61.21,72691.79999999999,0.6410195827484131
90,0.8,3,72,115,10734,0,62.61,68996.70000000004,0.6231000423431396
90,0.8,4,73,114,10733,0,64.04,72447.69999999998,0.6060423851013184
90,0.8,5,73,113,10733,0,64.6,77032.6,0.6391825675964355
90,0.8,6,76,112,10730,0,67.86,71524.9,0.6043341159820557
90,0.8,7,73,115,10733,0,63.48,76795.00000000003,0.5882093906402588
90,0.8,8,73,113,10733,0,64.6,72018.99999999997,0.5914003849029541
90,0.8,9,75,112,10731,0,66.96,69852.29999999993,0.6102914810180664
90,0.8,10,75,111,10731,0,67.57,70321.60000000002,0.6180105209350586
90,0.8,11,72,115,10734,0,62.61,75736.99999999997,0.6305437088012695
90,0.8,12,68,119,10738,0,57.14,72745.19999999998,0.6023046970367432
90,0.8,13,72,115,10734,0,62.61,78648.60000000002,0.6803197860717773
90,0.8,14,70,117,10736,0,59.83,70639.70000000001,0.6007688045501709
90,0.8,15,73,114,10733,0,64.04,72630.2999999998,0.6203713417053223
90,0.8,16,71,118,10735,0,60.17,79710.09999999995,0.6023402214050293
90,0.8,17,74,113,10732,0,65.49,74318.6,0.6521408557891846
90,0.8,18,70,116,10736,0,60.34,78369.10000000003,0.5977895259857178
90,0.8,19,72,115,10734,0,62.61,75025.40000000002,0.6213104724884033
90,0.8,20,71,114,10735,0,62.28,80122.30000000002,0.6489286422729492
180,0.4,1,53,133,10753,0,39.85,74186.89999999994,0.4589500427246094
180,0.4,2,59,127,10747,0,46.46,73746.69999999997,0.5197255611419678
