mc_delay_per_train,seed,TED_combined,TED_passenger,TED_freight,n_rescheduled,n_evaluated,n_skipped,n_fcfs_fallback,total_solver_time
5,1,73754.7,60998.20000000001,12756.499999999985,88,101,10718,0,0.6603517532348633
5,2,70979.30000000008,59302.50000000006,11676.800000000025,89,100,10717,0,0.631577730178833
5,3,76151.19999999997,63464.500000000015,12686.699999999957,88,100,10718,0,0.6392431259155273
5,4,74471.60000000002,61461.400000000016,13010.200000000008,90,98,10716,0,0.6647229194641113
5,5,76793.10000000002,63334.100000000006,13459.000000000011,89,98,10717,0,0.6246225833892822
5,6,81543.70000000001,63719.60000000001,17824.09999999999,89,102,10717,0,0.6704349517822266
5,7,79180.10000000003,65444.50000000003,13735.600000000013,86,101,10720,0,0.6637709140777588
5,8,67261.9,57545.0,9716.899999999987,90,99,10716,0,0.6935415267944336
5,9,73865.70000000001,62113.20000000001,11752.500000000007,87,100,10719,0,0.692162036895752
5,10,71234.29999999999,59760.10000000002,11474.199999999968,89,99,10717,0,0.6261959075927734
5,11,77743.40000000002,61482.60000000002,16260.800000000007,89,99,10717,0,0.6596548557281494
5,12,80112.99999999994,64760.3,15352.699999999933,90,97,10716,0,0.7427778244018555
5,13,71714.3,61768.600000000006,9945.699999999992,91,98,10715,0,0.6751093864440918
5,14,73087.90000000004,60731.20000000004,12356.699999999993,89,99,10717,0,0.6355690956115723
5,15,68064.29999999997,56170.79999999999,11893.499999999984,87,100,10719,0,0.6407458782196045
5,16,77466.89999999997,64266.99999999997,13199.9,88,100,10718,0,0.6842145919799805
5,17,75610.79999999999,63493.3,12117.499999999993,89,99,10717,0,0.6734619140625
5,18,73918.30000000002,61824.899999999994,12093.40000000002,89,100,10717,0,0.6776695251464844
5,19,77065.90000000002,65428.8,11637.100000000017,88,100,10718,0,0.6612663269042969
5,20,74062.90000000001,60978.40000000001,13084.500000000002,85,102,10721,0,0.6343071460723877
20,1,77977.79999999996,62641.19999999997,15336.599999999984,84,104,10722,0,0.6927444934844971
20,2,80116.4,67119.7,12996.7,86,102,10720,0,0.7205219268798828
20,3,77430.19999999998,62648.79999999998,14781.400000000001,86,102,10720,0,0.7066102027893066
20,4,74113.8,63130.00000000003,10983.799999999974,85,103,10721,0,0.6845104694366455
20,5,77618.29999999996,65312.90000000001,12305.399999999958,86,102,10720,0,0.6689841747283936
20,6,75039.79999999997,60735.69999999999,14304.099999999988,83,105,10723,0,0.741574764251709
20,7,73923.2605125462,59076.66051254623,14846.599999999973,85,102,10721,0,0.7003324031829834
20,8,71917.60000000002,61286.3,10631.30000000002,85,103,10721,0,0.6559240818023682
20,9,73073.30000000003,61574.60000000001,11498.700000000023,85,102,10721,0,0.6684985160827637
20,10,71136.59999999999,59760.10000000002,11376.49999999997,85,103,10721,0,0.6190335750579834
20,11,77680.90000000002,61482.60000000002,16198.300000000007,86,102,10720,0,0.6601028442382812
20,12,73559.79999999992,62590.89999999998,10968.89999999994,86,101,10720,0,0.6605465412139893
20,13,71961.8,61040.500000000015,10921.299999999992,85,103,10721,0,0.6989691257476807
20,14,74177.0,61958.59999999999,12218.400000000009,87,100,10719,0,0.6790342330932617
20,15,72767.39999999997,60193.69999999998,12573.699999999988,83,104,10723,0,0.711005449295044
20,16,74536.89999999997,61253.29999999999,13283.599999999977,86,102,10720,0,0.707324743270874
20,17,73340.39999999994,61589.79999999996,11750.59999999998,85,103,10721,0,0.6859688758850098
20,18,76172.89999999998,64288.0,11884.899999999974,82,105,10724,0,0.6808457374572754
20,19,75732.79999999992,64485.29999999996,11247.499999999956,85,103,10721,0,0.7012059688568115
20,20,73948.40000000001,60984.40000000001,12964.0,83,104,10723,0,0.6315891742706299
40,1,77872.89999999997,62536.299999999974,15336.599999999984,81,106,10725,0,0.7299075126647949
40,2,80001.69999999998,66992.0,13009.699999999986,82,106,10724,0,0.7203130722045898
40,3,77885.29999999999,62712.79999999998,15172.500000000004,83,104,10723,0,0.724395751953125
40,4,76562.3,64628.90000000001,11933.399999999994,81,107,10725,0,0.6992151737213135
40,5,77618.29999999996,65312.90000000001,12305.399999999958,84,103,10722,0,0.6770789623260498
